City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Minakuchi,JP,2022-05-09 23:13:47,34.9667,136.1667,59.25,72,96,2.26
155,Pisco,PE,2022-05-09 23:10:16,-13.7,-76.2167,65.01,77,0,14.97
156,Kropotkin,RU,2022-05-09 23:13:48,45.4375,40.5756,45.66,82,11,8.01
157,Kita,ML,2022-05-09 23:13:49,13.0349,-9.4895,91.26,27,65,1.79
158,Cerrito,CO,2022-05-09 23:13:49,6.8432,-72.694,57.2,93,100,3.69
159,Salto,UY,2022-05-09 23:13:50,-31.3833,-57.9667,67.87,83,100,3.65
160,Itarema,BR,2022-05-09 23:13:50,-2.9248,-39.9167,75.72,94,100,5.91
161,Havre-Saint-Pierre,CA,2022-05-09 23:13:30,50.2334,-63.5986,41.72,69,10,7.43
162,Bilibino,RU,2022-05-09 23:13:51,68.0546,166.4372,30.58,79,100,3.38
163,Lebu,CL,2022-05-09 23:13:52,-37.6167,-73.65,52.48,90,91,13.0
164,Nikolskoye,RU,2022-05-09 23:13:52,59.7035,30.7861,39.7,79,10,4.36
165,Assiniboia,CA,2022-05-09 23:13:53,49.6334,-105.9845,45.55,83,100,7.65
166,Nome,US,2022-05-09 23:13:53,64.5011,-165.4064,33.17,74,0,16.11
167,Labis,MY,2022-05-09 23:13:54,2.385,103.021,75.42,95,100,1.25
168,Grand Gaube,MU,2022-05-09 23:13:54,-20.0064,57.6608,73.38,88,21,5.01
169,Saint-Augustin,CA,2022-05-09 23:13:55,51.226,-58.6502,45.7,66,30,11.1
170,Port-Cartier,CA,2022-05-09 23:13:55,50.0334,-66.8654,44.74,80,0,2.26
171,Gaya,IN,2022-05-09 23:13:56,24.7833,85.0,81.72,68,0,5.7
172,Ilam,NP,2022-05-09 23:13:56,26.9167,87.9167,66.38,87,100,3.24
173,Sobolevo,RU,2022-05-09 23:13:57,54.4299,31.8996,35.56,72,61,6.53
174,Talnakh,RU,2022-05-09 23:13:58,69.4865,88.3972,36.21,98,100,12.03
175,Hasaki,JP,2022-05-09 23:13:58,35.7333,140.8333,59.29,71,100,17.92
176,Vestmannaeyjar,IS,2022-05-09 23:13:59,63.4427,-20.2734,46.53,81,100,2.19
177,Gornopravdinsk,RU,2022-05-09 23:13:59,60.05,69.9,45.77,74,11,5.08
178,Bilma,NE,2022-05-09 23:15:00,18.6853,12.9164,90.95,10,1,7.29
179,Vanimo,PG,2022-05-09 23:15:00,-2.6741,141.3028,82.54,81,73,6.26
180,Palmer,US,2022-05-09 23:15:01,42.1584,-72.3287,61.97,12,20,13.8
181,Burnie,AU,2022-05-09 23:15:01,-41.0667,145.9167,47.95,81,3,2.15
182,Mnogovershinnyy,RU,2022-05-09 23:15:02,53.9353,139.9242,35.98,92,81,3.38
183,Namatanai,PG,2022-05-09 23:15:03,-3.6667,152.4333,85.15,69,86,14.18
184,Axim,GH,2022-05-09 23:15:03,4.8699,-2.2405,80.74,82,100,6.67
185,Assare,BR,2022-05-09 23:15:04,-6.8744,-39.875,74.71,57,38,4.94
186,Belmonte,BR,2022-05-09 23:15:05,-15.8631,-38.8828,74.37,82,6,11.74
187,Simao,CN,2022-05-09 23:15:06,22.7886,100.9748,64.33,98,100,0.13
188,Yar-Sale,RU,2022-05-09 23:15:06,66.8333,70.8333,32.9,99,100,4.38
189,College,US,2022-05-09 23:15:07,64.8569,-147.8028,39.09,89,100,12.66
190,Mitchell,US,2022-05-09 23:15:07,43.7094,-98.0298,71.58,49,0,24.16
191,Matagami,CA,2022-05-09 23:15:08,49.7502,-77.6328,69.91,16,0,14.97
192,Sharya,RU,2022-05-09 23:15:08,58.3686,45.5144,35.98,97,100,12.86
193,Buala,SB,2022-05-09 23:15:09,-8.145,159.5921,83.82,78,51,10.63
